# language_name: Bengali
# code: bengali
# iso639: ben
# script: Bengali
# speakers: 270 million
construct_id,native_keyword,romenagri,note
KW_ATOMIC,আণ঵িক,aa_navika,tatsama<sanskrit
KW_WARP,তন্তুসমূহ,tantusamuuha,tatsama<sanskrit
KW_TENSOR,প্রদিশ,pradisha,tatsama<sanskrit
KW_MATRIX,আ঵্যূহ,aavyuuha,tatsama<sanskrit
KW_VECTOR,সদিশ,sadisha,tatsama<sanskrit
KW_GRAD,প্র঵ণতা,prava_nataa,tatsama<sanskrit
KW_BACKPROP,প্রতিপ্রসার,pratiprasaara,tatsama<sanskrit
KW_FORWARD,অগ্রপ্রসার,agraprasaara,tatsama<sanskrit
KW_LAYER,স্তর,stara,tatsama<sanskrit
KW_MODEL,প্রতিমান,pratimaana,tatsama<sanskrit
KW_TRAIN,প্রশিক্ষণ,prashik_sa_na,tatsama<sanskrit
KW_INFER,অনুমান,anumaana,tatsama<sanskrit
KW_LOSS,হানি,haani,tatsama<sanskrit
KW_OPTIMIZE,অনুকূলন,anukuulana,tatsama<sanskrit
KW_ACTIVATION,সক্রিযণ,sakriya_na,tatsama<sanskrit
KW_WEIGHT,ভার,bhaara,tatsama<sanskrit
KW_BIAS,পক্ষপাত,pak_sapaata,tatsama<sanskrit
KW_EPOCH,কল্প,kalpa,tatsama<sanskrit
KW_BATCH,পুঞ্জ,pu_nja,tatsama<sanskrit
KW_DATASET,দত্তসমূহ,dattasamuuha,tatsama<sanskrit
KW_EMBED,নি঵েশন,niveeshana,tatsama<sanskrit
KW_ATTENTION,অ঵ধান,avadhaana,tatsama<sanskrit
KW_PIN,কীলক,kiilaka,tatsama<sanskrit
KW_READ,পঠ,patha,tatsama<sanskrit
KW_WRITE,লিখ,likha,tatsama<sanskrit
KW_ANALOG,সদৃশ,sadr_sha,tatsama<sanskrit
KW_DIGITAL,অঙ্কীয,a_nkiiya,tatsama<sanskrit
KW_PWM,স্পন্দ঵িস্তার,spandavistaara,tatsama<sanskrit
KW_INTERRUPT,঵িঘ্ন,vighna,tatsama<sanskrit
KW_TIMER,কালযন্ত্র,kaalayantra,tatsama<sanskrit
KW_SENSOR,সং঵েদক,sa_nveedaka,tatsama<sanskrit
KW_ACTUATOR,প্র঵র্তক,pravartaka,tatsama<sanskrit
KW_BUS,মার্গ,maarga,tatsama<sanskrit
KW_PROTOCOL,নিযমা঵লী,niyamaavalii,tatsama<sanskrit
KW_SLEEP,সুষুপ্তি,su_supti,tatsama<sanskrit
KW_WAKE,জাগৃ,jaagr_,tatsama<sanskrit
KW_MOTOR,চালক,caalaka,tatsama<sanskrit
KW_SERVO,অনুচালক,anucaalaka,tatsama<sanskrit
KW_JOINT,সন্ধি,sandhi,tatsama<sanskrit
KW_POSE,মুদ্রা,mudraa,tatsama<sanskrit
KW_TRAJECTORY,প্রক্ষেপপথ,prak_seepapatha,tatsama<sanskrit
KW_FEEDBACK,প্রতিপুষ্টি,pratipu_sti,tatsama<sanskrit
KW_PID,নিযন্ত্রক,niyantraka,tatsama<sanskrit
KW_DEADLINE,কালসীমা,kaalasiimaa,tatsama<sanskrit
KW_PERIODIC,আ঵র্তিক,aavartika,tatsama<sanskrit
KW_PRIORITY,প্রাথম্য,praathamya,tatsama<sanskrit
KW_ACTUATE,প্র঵র্তয,pravartaya,tatsama<sanskrit
KW_PERCEIVE,প্রত্যক্ষ,pratyak_sa,tatsama<sanskrit
KW_PLAN,যোজনা,yaujanaa,tatsama<sanskrit
KW_STREAM,ধারা,dhaaraa,tatsama<sanskrit
KW_PIPE,প্রণাল,pra_naala,tatsama<sanskrit
KW_MAP,প্রতিচিত্র,praticitra,tatsama<sanskrit
KW_FILTER,ছাল,chaala,tatsama<sanskrit
KW_REDUCE,ন্যূনীকৃ,nyuuniikr_,tatsama<sanskrit
KW_FOLD,সং঵েষ্ট,sa_nvee_sta,tatsama<sanskrit
KW_OBSERVE,নিরীক্ষ,niriik_sa,tatsama<sanskrit
KW_EMIT,উত্সৃজ,utsr_ja,tatsama<sanskrit
KW_SUBSCRIBE,অভিনি঵েশ,abhiniveesha,tatsama<sanskrit
KW_DEBOUNCE,স্পন্দশোধন,spandashaudhana,tatsama<sanskrit
KW_OWN,স্঵ামিত্঵,svaamitva,tatsama<sanskrit
KW_BORROW,ঋণ,r_na,tatsama<sanskrit
KW_MOVE,স্থানান্তর,sthaanaantara,tatsama<sanskrit
KW_MUT,পরি঵র্ত্য,parivartya,tatsama<sanskrit
KW_LIFETIME,আযুষ্কাল,aayu_skaala,tatsama<sanskrit
KW_ARENA,ক্ষেত্র,k_seetra,tatsama<sanskrit
KW_GC,মলসংগ্রহ,malasa_ngraha,tatsama<sanskrit
KW_PIN_MEM,স্মৃতিকীলক,smr_tikiilaka,tatsama<sanskrit
KW_REQUIRES,অপেক্ষতে,apeek_satee,tatsama<sanskrit
KW_ENSURES,সুনিশ্চযতি,sunishcayati,tatsama<sanskrit
KW_INVARIANT,অপরি঵র্ত্য,aparivartya,tatsama<sanskrit
KW_ASSERT,প্রতিজ্ঞা,pratijnyaa,tatsama<sanskrit
KW_ASSUME,অধ্য঵স্যতি,adhyavasyati,tatsama<sanskrit
KW_PROVE,সাধযতি,saadhayati,tatsama<sanskrit
KW_REFINES,পরিষ্করোতি,pari_skarauti,tatsama<sanskrit
KW_MODEL_CHECK,প্রতিমানপরীক্ষা,pratimaanapariik_saa,tatsama<sanskrit
KW_NODE,গ্রন্থি,granthi,tatsama<sanskrit
KW_REPLICA,প্রতিকৃতি,pratikr_ti,tatsama<sanskrit
KW_CONSENSUS,সর্঵সম্মতি,sarvasammati,tatsama<sanskrit
KW_SHARD,খণ্ড,kha_nda,tatsama<sanskrit
KW_GOSSIP,জন঵াদ,janavaada,tatsama<sanskrit
KW_LEADER,নাযক,naayaka,tatsama<sanskrit
KW_RPC,দূরপ্রক্রিযা,duuraprakriyaa,tatsama<sanskrit
KW_ACTOR,কর্তৃ,kartr_,tatsama<sanskrit
KW_MESSAGE,সন্দেশ,sandeesha,tatsama<sanskrit
