# language_name: Telugu
# code: telugu
# iso639: tel
# script: Telugu
# speakers: 95 million
construct_id,native_keyword,romenagri,note
KW_WRITE,లిఖ,likha,tatsama<sanskrit
KW_ANALOG,సదృశ,sadr_sha,tatsama<sanskrit
KW_DIGITAL,అఙ్కీయ,a_nkiiya,tatsama<sanskrit
KW_PWM,స్పన్దవిస్తార,spandavistaara,tatsama<sanskrit
KW_INTERRUPT,విఘ్న,vighna,tatsama<sanskrit
KW_TIMER,కాలయన్త్ర,kaalayantra,tatsama<sanskrit
KW_SENSOR,సంవేదక,sa_nveedaka,tatsama<sanskrit
KW_ACTUATOR,ప్రవర్తక,pravartaka,tatsama<sanskrit
KW_BUS,మార్గ,maarga,tatsama<sanskrit
KW_PROTOCOL,నియమావలీ,niyamaavalii,tatsama<sanskrit
KW_SLEEP,సుషుప్తి,su_supti,tatsama<sanskrit
KW_WAKE,జాగృ,jaagr_,tatsama<sanskrit
KW_MOTOR,చాలక,caalaka,tatsama<sanskrit
KW_SERVO,అనుచాలక,anucaalaka,tatsama<sanskrit
KW_JOINT,సన్ధి,sandhi,tatsama<sanskrit
KW_POSE,ముద్రా,mudraa,tatsama<sanskrit
KW_TRAJECTORY,ప్రక్షేపపథ,prak_seepapatha,tatsama<sanskrit
KW_FEEDBACK,ప్రతిపుష్టి,pratipu_sti,tatsama<sanskrit
KW_PID,నియన్త్రక,niyantraka,tatsama<sanskrit
KW_DEADLINE,కాలసీమా,kaalasiimaa,tatsama<sanskrit
KW_PERIODIC,ఆవర్తిక,aavartika,tatsama<sanskrit
KW_PRIORITY,ప్రాథమ్య,praathamya,tatsama<sanskrit
KW_ACTUATE,ప్రవర్తయ,pravartaya,tatsama<sanskrit
KW_PERCEIVE,ప్రత్యక్ష,pratyak_sa,tatsama<sanskrit
KW_PLAN,యోజనా,yaujanaa,tatsama<sanskrit
KW_STREAM,ధారా,dhaaraa,tatsama<sanskrit
KW_PIPE,ప్రణాల,pra_naala,tatsama<sanskrit
KW_MAP,ప్రతిచిత్ర,praticitra,tatsama<sanskrit
KW_FILTER,ఛాల,chaala,tatsama<sanskrit
KW_REDUCE,న్యూనీకృ,nyuuniikr_,tatsama<sanskrit
KW_FOLD,సంవేష్ట,sa_nvee_sta,tatsama<sanskrit
KW_OBSERVE,నిరీక్ష,niriik_sa,tatsama<sanskrit
KW_EMIT,ఉత్సృజ,utsr_ja,tatsama<sanskrit
KW_SUBSCRIBE,అభినివేశ,abhiniveesha,tatsama<sanskrit
KW_DEBOUNCE,స్పన్దశోధన,spandashaudhana,tatsama<sanskrit
KW_OWN,స్వామిత్వ,svaamitva,tatsama<sanskrit
KW_BORROW,ఋణ,r_na,tatsama<sanskrit
KW_MOVE,స్థానాన్తర,sthaanaantara,tatsama<sanskrit
KW_MUT,పరివర్త్య,parivartya,tatsama<sanskrit
KW_LIFETIME,ఆయుష్కాల,aayu_skaala,tatsama<sanskrit
KW_ARENA,క్షేత్ర,k_seetra,tatsama<sanskrit
KW_GC,మలసంగ్రహ,malasa_ngraha,tatsama<sanskrit
KW_PIN_MEM,స్మృతికీలక,smr_tikiilaka,tatsama<sanskrit
KW_REQUIRES,అపేక్షతే,apeek_satee,tatsama<sanskrit
KW_ENSURES,సునిశ్చయతి,sunishcayati,tatsama<sanskrit
KW_INVARIANT,అపరివర్త్య,aparivartya,tatsama<sanskrit
KW_ASSERT,ప్రతిజ్ఞా,pratijnyaa,tatsama<sanskrit
KW_ASSUME,అధ్యవస్యతి,adhyavasyati,tatsama<sanskrit
KW_PROVE,సాధయతి,saadhayati,tatsama<sanskrit
KW_REFINES,పరిష్కరోతి,pari_skarauti,tatsama<sanskrit
KW_MODEL_CHECK,ప్రతిమానపరీక్షా,pratimaanapariik_saa,tatsama<sanskrit
KW_NODE,గ్రన్థి,granthi,tatsama<sanskrit
KW_REPLICA,ప్రతికృతి,pratikr_ti,tatsama<sanskrit
KW_CONSENSUS,సర్వసమ్మతి,sarvasammati,tatsama<sanskrit
KW_SHARD,ఖణ్డ,kha_nda,tatsama<sanskrit
KW_GOSSIP,జనవాద,janavaada,tatsama<sanskrit
KW_LEADER,నాయక,naayaka,tatsama<sanskrit
KW_RPC,దూరప్రక్రియా,duuraprakriyaa,tatsama<sanskrit
KW_ACTOR,కర్తృ,kartr_,tatsama<sanskrit
KW_MESSAGE,సన్దేశ,sandeesha,tatsama<sanskrit
